questions,answers
"Fast in the air and being above Yeah, I think being able to see different view. So pilot Have you looked into what it would take to become a pilot.","You know, the only struggle with thatI dont have to drink, I don't think this will work out"
,"You know, I had a boyfriend who"
"one of the things we can offer here is for you to come in and talk to one of our behavioral health specialists may be able to help you talk talk through this this area of your life, this area of increased stress and sound like responsibility there and we can make an appointment for you for like before you leave today to talk to somebody",That would be nice
Tell me more about that. What would you do in your dream job?,"I just want to fly by being in the end, I like going fast."
"I mean, the panic responses only maintained for so long",and I could also choose like maybe questions that are no the answer to automatically so that could help maybe release some of that stress
how long did the last marriage so that,was three years that was the longest.
"Again, I look forward to speaking to you in the future.","All right, thank you very much."
Have you been having any thoughts related to death or dying?,Nothing like that. No.
But did you know that was coming?,"Yes, "
And maybe monthly you have more than that. What what's what kind of drinks do you have? What do you do when you typically drink,"wine with my meals? You know, again, one or two, typically and more frequently, three or four. My stress is increased."
"Okay, I want to thank you for your participation so far in this intake. But I want to move to another section of intake, specifically your family history if that's okay with you. So I'm going to be asking you various questions about your relatives. Okay, ",yeah.
"So as you're debating that thought, because that's coming to your head, and you're thinking I just need to, yeah, gotta get out here. What happens there, so we're maybe What, 15 minutes before we present? So tell me about that. So you have that thought you want to flee,","right. And I'm looking at the clock and saying, you know, like, how much more time in this presentation before I have to go like, should I go? Should I not go? What are the consequences of running out? You know, and kind of playing out, which would be worse?"
like mania? Yeah. Nothing like that. Ever.,
"okay. So that was sunset run zero to 40. It's not a sort of super high risk, but it certainly could be a risk for maybe increasing stress might be some physical ailments related to alcohol as well could could start to show up if you were to increase your drinking from there, or even stay there. This is a typical standard drink size over here, I'm not sure whether that fits your description of a glass of wine or not,",I feel the glass up so maybe a little more than that
"Now, what about your dream job? What would be if tomorrow you could say, I'm gonna have this person tomorrow? Or this is my profession tomorrow? What would be your dream job? ",A pilot
,"if I, if I could pull it together than I could,"
"So that's, that's certainly that's certainly one adaptive response to try writing. Another one could be that, although it wouldn't be great to fail, you can retake the test in a year. Right. You could try it. ","Yeah, that's true."
Right. And so how did it make you feel good? Because you work for something And then the finished product was your paycheck.,Yeah.
"So we want to we want to maybe will equip you with some coping skills, how to cope with those things, how to prepare you maybe for the holidays, maybe there's a way we can, you know, we can begin to look at that. During the holidays. This is these are the emotions I feel. So we identify those emotions and we'll be able to, you know, take care of that we'll be able to prepare you prior to you are you falling back into the trap of going out and using marijuana Maybe during Christmas? Do you feel the same way during Christmas?",Yeah
How about your concentration level any changes there?,"Yeah, it's it's hard to concentrate at work and, and in general even at home because I just am so tired. not sleeping and tonight I just get distracted by like, you know, like, I'll be over, come with emotion and I out of nowhere, like it's hard for me to pay attention to what I'm doing. If I'm getting distracted by those thoughts."
"Hi, Miss Watson, see you again. See, I'm glad you came back in. I've got the results now of the blood work that we did after your checkup. ",Okay.
Is that the first time that's happened?,"Yeah, the first time. I mean, I threw up blood last weekend then. Again, yesterday. So there's something bad going on. I know there's something bad going "
"So it's time to increase your strength a little more. Well, based on what you put here, you get it gives you six points on this scale scale ranging from zero to 46 points will put you in what we would consider an at risk zone. So if it's okay with you to talk a little bit about that,",okay
"And then your father you said, remarried. He did. And how long after the divorce? ",I think it was about 18.
Now these presentations are in class? ,Yeah
Have you ever felt this way in the past?,I mean
Has it ever happened to you?,No. Never
Do you wake up and you do?,"yeah. It's not my morning routine. Go ahead and do it. And then usually around noon time I'll do it again and then towards five o'clock. I'll do it again at nighttime in Fargo. They'll do Again, right"
"Okay, so it's pretty high up there again, and what if, what if anything, would you choose to do would it be to cut down would it be to quit? I'm just curious about that","I you know, I like a lot A glass of wine, I don't want to quit altogether, I'd be willing to try cutting that. But now if it's going to, if Dr. Seal would agree to prescribe me something for the anxiety, and it meant that I had to not drink at all, I'd be willing to do that at least for a period of time."
"And he may be able to I'm not saying that he cannot just imagine that he's concerned that if you continue to drink, the level that you are drinking, that whatever he prescribes you, there may be an interaction with it to mention that he's concerned. I'm not completely sure. So you've had some success in the past of changing behaviors. And if you were to decide to make any changes here that sounds like you could draw upon that to make those changes. How important would it be for you on a scale of zero to 10? I have a low visual hero that if zero is not important, ten is very important to do something about your drinking wine.","Well, I mean, if if it means that it's increasing my stress and or he's not going to prescribe me anything because of my drinking, then it's fairly important, maybe about seven. "
"So, what we want to do while you're here, you know, we want to help you here develop a treatment plan and treatment model where you can pursue some realistic goals. We want to set some goals for you. Also, what about your medical History tongue a little bit about your medical history. Have you ever been in the hospital? Has anything ever happened to a broken bone",I had surgery on my cybereason
"10 years old and then you started working and As a program for the school, so you know, you've known at a young age that it's going to take hard work,",yeah to achieve something to achieve something.
"Alright, so this excessive worrying and all this interfering of preparing all this goes on right up until you're getting ready to present",Yeah. And then like while I'm presenting
Not that I know,"that he's, he's usually around electronic cash snapping he says it hasn't happened and so. Alright."
," I want to play with my cat I usually like my cat for like an hour every night, just because I'm at work all day but I haven't I've been having trouble like even doing that. Yeah, so I would say and then even like my relationships to like my social life, it's been affecting it."
"Are you aware of any medical conditions that like your mother and father might have or your grandparents,","like heart disease or anything like back in the medical? My grandpa had like heart disease. My grandfather had cancer but he beat colon cancer was in like the first stage but he was fine after. But as far as my parents, they don't have any medical issues that I know of."
"How many Is it like a, like a multiple choice? ","Yes, it is. "
Do you feel restless or the opposite kind of slowed down and having either one of those feelings.,"No, not really like that"
"okay, so that was earlier this morning. All right, what did you have?","I had orange juice and I had some vodka in it. It's the only thing actually that like steadies me enough to get out the door. I don't ever go out that often. But right now,"
"So that's great. That's another adaptive response, which you've survived this before.","Yes, I definitely have."
"because what I understand from what you're telling me is that the drinking helps meet a certain need for you, in terms of trying to hold things together with all this stuff going on, and meets a need in terms of trying to keep you calmer. But at the same time, it's getting you into trouble. It's getting into trouble in terms of relationships, but it's also the most likely act explanation for why you've been throwing up blood isn't why the lab results that I've got are consistent with an amount of alcohol that's too much for your body to handle. Really, really, and that means, ideally, that we're going to work together to find a way to do something about it.",
hmmm,"Um, I kind of try to work through it and start trying to answer one question at a time to get to the last question."
"let's try to figure some of this out. Okay. When you said you were throwing up blubbery, throwing up bright red blood and was it like little spots, big spots?","It was a it was almost filling a toilet wasn't that much. I wasn't like that it was enough that I could see it in the toilet, and I was throwing up."
So the thought is going through your mind is I'm gonna receive a bad grade.,"Yeah, and that everyone saw me, you know, sweating and all these symptoms that I have everyone is judging me"
"So, after you were yelling things, or you hit him, like you're asleep during this time, when you wake up, what's going through your mind then?","Usually I wake up and he's like, what are you doing? I was having the worst dream. So those dreams are kind of what he's telling me are aligning. What my behavior is, my dreams are aligning with those. So you know, I don't feel anything. It doesn't feel like I've been anything. I have. I've met a couple times and woken up, but no people do that. So I didn't really think anything of it. But now I'm starting to wonder. Yeah, it's it's a little strange. So Oh, concerning."
"So these symptoms you've been describing, have been causing limitations in your functioning in what areas",what work
But how many times?,3-4 times
have been having any feelings of worthlessness?,No.
"All right, how about kind of same question except for mental health conditions.",I'm just crazy. Like my mom was crazy and she was just completely
And you mentioned the sleep disturbance not been sleeping as much as you'd like to?,"Correct. It's really hard for me to fall asleep. And sometimes I'll just lie there for hours at night and it's, you know, awful focused, and I'm tired all day, because I didn't sleep at night. And when I get home and it's time for bed again, I still can't fall asleep."
yeah?,Yeah. I haven't been able to sleep.
And you're having what sounds like a panic response to heart racing.,"Yeah, my hands shaking. "
So it really that same feeling you've had in third grade. That's coming up with this test.,"Yeah, I mean, I didn't put them together until now. But yeah."
Is there anything else you want to tell me about your family history?,"Um, my mom would drink sometimes when I was growing up, but that's what my mom is really friendly to me when she would drink And yeah, she would drink. I don't know if that's, you know, she was considered an alcoholic but she would drink often. And I think just to come off of her shopping a lot she would drink or vice versa. Sometimes she would drink or shopping or just to calm down, she would drink and sometimes in our drinking habits, she would actually be nice to me."
"Hey Michelle, how are you doing today?","Umm I am kind of doing, I'm feeling a little bit stressed out"
"you know, symptoms of bipolar and anxiety. Yeah.","No, that's just my mom with her. You know obsessiveness and she'd get depressed after But as far as any other siblings No, no."
She's married four times.,Yeah.
"Okay. So you would prep everything, you know, all the tensile Ready? ",Yeah
So I'll get you scheduled into see a counselor. I appreciate you tell me what's going on. ,It's been it's been helpful. Thank you. Prepare health
"sure you understand you've been having some symptoms which have been bothering you, but can you tell me what you think's going on?","Yeah, I've been feeling really low and I think I might be depressed. "
"Sherry, I'm going to get you in to see a counselor here. Just take a couple days to get you in. Is that okay? I want to thank you for answering these questions. For me. This has been helpful.",Yeah. All right.
,"you know, was Sort of casual coming over and, and he, he basically said he couldn't be with me anymore because I drink too much. And so I tried. I tried. I was like, Well, yeah, and then he left. So who cares, right? I mean, right?"
How you were brought up?,"Yeah its like that I don't appreciate my foster parents. Right? But just with Billy, I've been born with my biological right."
"Okay, so maybe that's another thing a realistic goal that we need to look at, and maybe help you pursue is it as a job? Maybe because the idle time sometimes can trigger events, you know, where you begin to want to use marijuana, and then we can identify some of the emotions that you're feeling. Let's go over that maybe briefly. Before you get before you smoke marijuana, is there a feeling that you have that says, hey, you depress, so we can look at the depression and see how we can treat that. What else? What are some of the other feelings that you see?","so angry, You know"
"See, like the taste of it. And it does help to lower the stress, even if it's just for the fun of me drinking. What's not so good things about alcohol for you.","Um, well, you know, the nights that maybe I have a couple more glasses than I should I wake up feeling kinda yaak and, of course, part of my stress is finances. And I mentioned I like the good stuff. And so if I'm drinking more than I'm increasing my financial burden,"
And you'd be okay saying release for him?,"Yes, yes."
You have any ideas as to what may what may be what may be making this test such a point of anxiety for you?,"I think it's just the fact that it's this promotion. So it's like the same thing. Like, if I fail, I'm being held back. And I feel like it's, we live in that moment of being held back. And that, that that's like a fear that I have that, um, that by not being able to pass these tests are holding me back."
You're about 18. And then your mother remarried and was divorced a few times your sign?,"Well, yeah, I mean, it was pretty much right after they got divorced. She married some guy. I don't even know he was nice guy, but it was like six months after pretty much like real fast. Um, and then that didn't last very long. Forgive me, I have to remember like how long they were together because there's so many. But I believe that they were only together for not even a year. And then she kind of had some time where she just was dating But it was numerous people. And then she met somebody in her a meeting. And they married. That lasted, that they probably got married."
"that also has some information here if you're interested, some pamphlet on alcohol and and how what helps limits on how it may be affected by medications that you take as well. And I wish you lots of luck. It sounds as though you're really committed to making this shift in this change. And I imagine doctors still want to follow up with you and see how you do with your with your change within a few weeks.",Okay
"Yeah, you just have, you just have another years of study, right? And, of course, you wouldn't have that promotion that time and that would be an outcome, I know you don't want. But it's not the end of your career, It's not like something so drastic it's important to you and I can appreciate that. But it's not the end of your career. You're not going to be unemployed.","No, no, definitely not. And just thinking back and relating it back to the third grade, even though I had to stay back. I still managed to, you know, do well the next year and keep moving up. And it hasn't really, in the long run prevented me from doing anything that I've wanted to do."
but it was the start?,"Yeah, it was a start. "
All right. Are your parents married?,They're not married.
Any drug or alcohol use?,NO
"yeah so if you can just kind of use that time to focus on the items, as you mentioned, you could get right. And kind of, at the same time be telling yourself I can ride this out.","Yeah, I mean, I've done that in the past, so I can apply it to this test. "
What do you think is going,what cancer right I think I probably have cancer i'm not i'm not doing very well I just look headaches and I was just
"Yeah, so what do you feel is most pressuring you to leave the room like what? What symptom?","Um,"
"All right, how about your relationship with your mother?","Um, it's just it's honestly there's no other way to describe it. It's just chaotic. I mean, she's chaotic. So she's all over the place and it's just Hard to capture on a good day. And when you do, it's just you know, it's kind of surface our relationship."
"most time you're sad, but you still have fun. Have you lost an interest in pursuing things that are fun?","No, I mean, I still try, you know, you know, to distract myself. Like if I noticed that I'm like, just feeling really low and or like, even if I can't sleep At night, like I'll do go do something that I like doing. You know how to pass the time?"
Are you in the room alone? You're taking the test?,"Yes, "
"So I have a few a few thoughts about this. One is I'm wondering you know, we've talked before about cognitive therapy core beliefs. So I'm curious as to what you think about what core beliefs may be operating. For you now with this with this test, this work test","that  I could fail that if I fail I could end up being a failure at all, you know, the things that I try"
"So one one possible strategy here is we talked about the adaptive response. Right? So, which is that thought that you say to yourself that self talk, I wonder if your doctor response couldn't be I can ride this out like you have no time to test? ","Yeah, that's true. "
"And then, very quickly after that, you said and then she met some a Meeting.","Yes, that's a third and then this one would be Oh, yeah, the fourth the fourth. Okay."
"So if you want something in life, you pretty much have to work for it work for a car or not You have to work at a young age. How old were you when you started working?",10 years old
"Yeah, it seems seems a little less than perhaps you've been drinking or what you consider to be healthy drinking. And certainly there's there's conflicting information out there about what's healthy and what's not healthy. Imagine the increased stress work because we're concerned doctor seal as your stress increases, and if you were to describe you anything, maybe some interaction between the two, that would also be a concern for him. I would, I would think, so if you would, what is it that you like about alcohol?","Well, you know, it does, at least in the moment, temporarily reduce my stress. And I you know, like a good glass of wine. I don't don't drink the cheap stuff. I like the expensive."
"So he's been paying attention to what's going on with your sleep. Does the episode of yelling or moving around, does it happen a certain time limit? Like what happened right after you go to sleep or a while","after you go to sleep? I'm in the middle of the night he has. He said at first he thought I was joking around But, yeah, no, no, I am waking him up, you know. So"
"Alright, so in third and third grade, you had a really bad testing experience. And as you move forward from there, you've never really been thrilled about taking tests ",no
"throughout the day, throwing up the blood","that was in the morning and then again,"
"right maybe that's something we can discuss to help you find the cadet program close fine. We're able to give you a, you know, some goals to set to get you in the program at that. But let's look at you know, back, let's back up a little bit to the marijuana. Because you and I know being in law enforcement, you know, marijuana and being a cop, pretty much ","Yeah, yeah. "
to have a severe anxiety for that buddy. And then they can very embarrassing. That would be a very undesirable outcome for you.,Right.
"So you'd be willing to stop altogether. That's what was indicated by the physician. Okay. So based on that, how ready are you to do anything right now, whether it's to cut back whether it's to quit?","Well, again, you know, if if I can get something to help me manage if maybe I can find some other way to deal with the stress, then then you know, I be pretty ready. Again, maybe about an on that scale, maybe an eight."
" the drink introduce stress and increasing stress at the same time. So on the one hand, it low is it on the other hand, it's increasing kind of the seesaw teeter totter effect. What do you make of that, given that on one hand, it lowers on the other hand, it increases and and now it's increasing even more?",And maybe I need to find some other way to deal with my stress. Yeah.
"something like, I am a failure or I'm bound to be a failure, I'm destined to be a failure. ",I would say like I'm destined to be.
you are. So no one's really seeing you have this. I wouldn't want to call it a panic attack yet we haven't really gotten too far into it. But it sounds like it has some panic like features.,Yeah.
How confident are you that you could do something about your drinking?,"I'm pretty confident and you know, probably about a seven or an eight "
,"the other time it was sort of later in the day, but I"
"So over the course of the day, in order to study yourself in order to feel calmer. How many drinks do you end up having?","Five? Hmm, maybe"
I didn't mention that. Everybody went their separate way.,"Yeah. I don't really see them quite honestly. So If I do see them and maybe it's like if I show up at a at a family party once every five years, but so I think to me, that's okay. That's right. Yeah."
"Right, So it's the, it's the pressure is the pressure of you need to get through this. And you don't have the safety nets that you had in school? ","Yeah, if I fail it, then I'm not going to be able to get the promotion, I would have to wait. Just like I did not have to wait a certain amount of time. I think an ear before I could take it again."
Have you noticed a change in your ability to experience fun or pleasure?,"I haven't really thought about it. But I mean, I still have fun sometimes."
"Hasn't been daily. Oh, yeah. Right. So the longest you've gone without a drink in the last month would be how long?","I don't know. Actually. I mean, I don't know. I've got you know, I've got a lot going on. Right. Yeah. So my, my sister is in Boston, she's got cancer and I know like I should be calling her and I can't do that. My mom is really sick and she's horrible, and I'm the only one that Who can go see her? And I go see my mother and she just yells and screams at me and she's got this email and it's just"
Wow.  And when what was what's your reasoning behind that?,I love airplanes I used to make smaller airplane
"Hi Miss Clark, My name is Alan Lime. I'm a social worker at the Family Health Center. Dr. Steele asked me if I would spend some time with you today. I'm really glad that you're here. I'm just curious as to why he would send you to me.","Well, I came to see Dr. Seal last week because of increasing stress and anxiety, that's kind of getting the best of me. And in the course of my appointment with him, he was asking how I was dealing with that stress. And I mentioned that my one or two glasses of wine a few nights a week is turning into more frequent and maybe three or four on some nights and he had some concerns about that and, and felt like maybe you could help me with stress or something."
"Okay. And you seem like, like you said, you said the night before with your friend. ",Yeah.
Any change in your appetite or weight in the last couple weeks?,"Yeah, I mean, I haven't really been eating that much. And I've actually lost a few pounds. Yes, three pounds. Yeah."
"So that's so that's one well, that's a cognitive and behavioral strategy, right? Like you can you can wait out the panic. I mean, you're in the room alone.","Yeah, that's true. Nobody's there. Nobody's gonna see me. I'm kind of trying to get myself together. "
And what happens once you get worked up like once your heart rate increases and You have any other physiological symptoms would,want to actually do take the test?
You have any formal diagnosis she had her um,"she uses magnetic like I guess like bipolar, but we she never really got like a definitive label as dipole bipolar and like therapy or anything like that. But"
"Alright, so who? Who raised you?","My parents raised me? Yeah, yeah. I mean, they were good parents, I guess, according to my standards, because my mom was just always a mess. So I guess they both did the best that they could, given some circumstances. So"
So you've already failed.,"right. So there's no sense in getting up there. And maybe if I don't get up there, you know, I guess it couldn't be any worse. So I might as well just leave"
Yeah. She married now.,"No, no. Now she's, I don't know, just dating or whatever she was"
"But you've been able to adapt. You've been able to take them and still, like pass them.","Yeah, I mean, sometimes I get an A. "
"What about in your family? Is there any diseases in your family and you want to know suffer for any illnesses, ailments. Okay. And as far as medical attention is there anyone that needs medical that needed medical attention in the past maybe someone on meds in your family psychological health? Was there anyone maybe that has gone to therapy that has been in therapy Your family and family member",No.
"So that's, that's good, right? ","Yeah. I mean, yeah, it is good. Yeah, it's good."
"What Well, we can do we'll set you up with a treatment plan. And then I'd like to meet at least have two contacts with you your week. We can go over that. And then maybe during one of the context, we can help you with one, help you with a job. Okay? And then identifying some of the emotions. And then maybe we can get the whole marijuana use, we can begin to kind of taper it down instead of seven, you know, everyday. Yeah, we'll begin to see how we can take with that. Okay, we're down but again, I'm glad that you came. It was a pleasure meeting you and we'll be in touch and we'll be able to do it again.",Okay. All right.
"Oh, it's so good, when you have to take the test?",on next week.
"But this particular test, which is not for scorches for work, yeah, this one, this is more of a stumbling block for you.",Yes.
You're really well prepared for it.,Yes.
What is you next dream job?,A cop.
So what's your relationship with with them now? What's it like now?,"Um, it's okay. You know, I guess. I mean,"
"So well, she was married to your father.",Yeah.
so so you you choose to lower your stress rather than increase it. And if lowering your drinking would have that effect that something be willing to do.,hmmm
having that. Have you tried it all to cut down on your drinking?,I did. I did.
Can you tell me about your siblings?,I do. I do. I have two siblings. Okay.
And since that bad testing experience. Have you had trouble with tests since?,"Yes, I always feel really anxious. I mean, I'm able to pass tests obviously because I graduated from college. School went on to high school. But it's so hard for me because of this anxiety that I feel that even though I may think I know it, I may still fail the test anyway, maybe like a repeat of what happened."
"Okay. Now, when you were working, how did that make you feel when you're working?","You know, I got boring at times, obviously And because the Patriots were also really small. "
"I mean, I know that's not what you want, but, but the alternative is kind of buying into that automatic thought we know that's not working. Right. The I'm I'm Destin, that was the word right like I'm destined to be a failure. We know that's not working for you. ","So even if I have to take the test again and in a year, then I'm not going to be a failure because I still have the chance to take it again. It's not like I'll never be able to take this test again."
"Maybe even your birthday, Father's Day, Mother's Day, these are all things that we can kind of get you ready for. Because once again, it's gonna take small steps, realistic goals. And then what we want to do after that the real estate goals is just get you ready, you know, for long term goal. But you know what, Curtis? I'm glad you came into my office. It was great meeting you. I look forward to working with you. ",All right.
stressed?,"Yeah, I feel like I have a lot on my plate. I have this test that I have to take for work."
trouble sleeping?,This has been going on for a month.
"So only at night when you're sleeping overnight and in the middle of that sleep. All right, would you be okay with sign a release so I can communicate with your question. ",Yeah.
"And what would be like, give me a little bit during the time that you were in school. Did you have a job heavy work?","I was working at cost wise, It's a restaurant Through the school, okay, and it was not like a job program, right, package of knives and forks and wrapped in salt and pepper and would send them over to the school. I mean to the restaurant. "
"So the more items you you answer correctly, the less anxious you're gonna feel because you're closer to the end of.","Yeah, definitely. Because then I start to feel more calm because I know that I know these questions are definitely going to be right."
And before we go over any of that I really wanted to find out from you how things are going and what you're concerned about.,"Well, I mean, I'm, I'm curious about them because I haven't been very well, right. I haven't been very, very well. I've been last week I threw up some blood. "
So how's your relationship with your father?,"Um, it's good, I guess. I mean,"
"do you feel now recently wherever you're at a state where you're cheating too happy, like had a lot of energy and ","like make mania,"
,Yeah
Has there been any major event in the last month? Or maybe before that did you think might be causing this,nothing Nothing's in there significance happened to make me feel this way
"Okay. So for this example, let's say you're through the second. Okay, so you're sitting in the classroom and another student is presenting. What's going through mind that?","I feel like I am totally zoned out. Like I'm not even paying attention to what that person saying, because I'm so worried about how I'm gonna mess it up. You know, I'm, I'm starting to like be sweaty, like my hands are clammy, my heart started to race a little bit, and I'm just totally zoned out on what they're doing. Just, you know, worrying about what's gonna happen when I get up there."
so let's talk about that let's go into the actual day a present so we have a successive work coming in it's interfering with your ability but it's distressing for you.,Yeah.
"So they might, they might think less of you as a person.",Right. Or like be judging me. Okay.
there's a lot riding on your decision on what to do with this. What if anything would bring up to an eight or nine on that scale?,"Well, the you know, the risk that you mentioned about the drug interaction, I certainly can't afford to, you know, have any more stress.  So, yeah, "
And since that this was third grade.,Yeah.
Okay. So you filled in one of the Pink Sheets and I take a look at that.,He told me to fill that out and bring it with me.
So this a lot of pressure.,Yeah it is
"And the other test you take in throughout the rest of grade school in high school they didn't, they didn't have that same value attached to them.","Now because they didn't have all that pressure that it was either win win or lose, basically, "
"All right, then. But then there's this other worry of now we have to see what the grades are right?",And I convince myself that I did poorly.
"Great. So, Michelle, I'll see you. I'll see you then and work through it. I really appreciate you coming in today.",
,"yeah, there's not much that I would have to remember"
Is there any other questions that you may have for me? Is there anything?,How many times a week Am I going to be allowed to come?
And they also have something.,Definitely.
"And what thoughts are going through your mind right then like, so let's take that kind of severe moment. When you're, you're, let's just say still before the presentation, okay? So you're sitting at the desk and your heart rates elevated. And you're not focusing on what they're doing. You're zoned out your anxieties high. What was going through your mind right, then?","I think I'm thinking, like, I'm gonna bomb this anyway. So I might as well just, you know, not go through the stress of having to do it. Like I've already in my head, I know that it's going to end badly."
singles or doubles?,I don't measure
